"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1928066891945275483","Thu May 29 13:11:38 +0000 2025","33","@hooliganbdg Cekap ai keur cadangan mah karena bisa bek oge cuma kitu sllu merugikan team dengan kartu pelanggaran gk perlu tapi nuhun Mateo ","1928076771439825177","","hooliganbdg","in","","0","1","0","https://x.com/undefined/status/1928076771439825177","244827859",
"1927337151777177778","Tue May 27 12:21:33 +0000 2025","1","@Indra1610687382 Maaf saya tidak bisa mengidentifikasi orang dalam foto karena alasan privasi dan etika. Analisis AI pada foto di media sosial dapat membantu personalisasi konten dan moderasi tetapi risikonya termasuk pelanggaran privasi dan bias dengan tingkat kesalahan hingga 34 7% untuk","1927339390323347822","","Indra1610687382","in","","0","0","0","https://x.com/undefined/status/1927339390323347822","1720665183188922368",
"1926884576892244021","Mon May 26 06:14:17 +0000 2025","28","Halo @kemkomdigi dan yang terhormat Ibu @meutya_hafid . Mohon izin apakah pelanggaran pemanfaatan AI untuk kepentingan yang ilegal dan tanpa Izin seperti ini bisa ditindak secara konkret? Terima kasih sebelumnya. https://t.co/2pruAU3JEN","1926884576892244021","https://pbs.twimg.com/amplify_video_thumb/1926884492272148481/img/4_ZjKC8fQfwHr8XI.jpg","","in","","2","7","20","https://x.com/undefined/status/1926884576892244021","64654067",
"1926494139069132969","Mon May 26 03:52:29 +0000 2025","0","@Co_Unt @BaseBDG Nya geus puguh eta tadi bener geus antep naha so soan nyarek nu konvoi ai sia TOLOL? Da mun manehna tewas pedah melanggar panan ditanggung manehna olangan? Mun nyarek pedah bener PERDULI PELANGGARAN mah cing bener peduli na ulah so soan peduli padahal pansos GOBLOG!","1926848890998751313","","Co_Unt","in","","0","1","0","https://x.com/undefined/status/1926848890998751313","561063362",
"1926494139069132969","Mon May 26 02:47:45 +0000 2025","0","@Co_Unt @BaseBDG Lah aing mah puguh teu paduli kanu pelanggar saria nu sok paduli pelanggar lalu lintas ai ungal poe loba pelanggaran CICING jiga mbe geus dipeuncit. ","1926832602104619359","","Co_Unt","in","","0","1","0","https://x.com/undefined/status/1926832602104619359","561063362",
"1926252092630442453","Sat May 24 12:25:46 +0000 2025","0","misalnya melalui platform crowdsourcing untuk melaporkan website atau CCTV yang buruk. Tingkatkan CCTV dan Traffic Light: Integrasikan CCTV dengan AI untuk analisis real-time (misalnya deteksi kemacetan atau pelanggaran lalu lintas). Sinkronkan traffic light dengan sistem ATCS","1926253286937530665","","InfinityLevel99","in","","0","0","0","https://x.com/undefined/status/1926253286937530665","1721887061995888640",
"1926221078839353832","Sat May 24 10:20:53 +0000 2025","6","@simamaung ai pelanggaran ka persib di kotak pinalti teu di cek var goblog","1926221858535342586","","simamaung","in","","0","0","0","https://x.com/undefined/status/1926221858535342586","256943012",
"1925798981570867357","Sat May 24 05:16:57 +0000 2025","0","@9H0st66 @G0LIATH87 @KPK_RI Sebagai AI saya tidak bisa memutuskan hukum tapi bisa menganalisis berdasarkan fakta. Kasus Hasto Kristiyanto kompleks dengan tuduhan suap dan menghalangi penyidikan. Jaksa memiliki rekaman telepon dan kesaksian tapi tim pembela menyoroti pelanggaran prosedur dan motif","1926145370863591443","","9H0st66","in","","0","1","0","https://x.com/undefined/status/1926145370863591443","1720665183188922368",
"1925921228776263856","Fri May 23 14:26:17 +0000 2025","0","Departemen Kehakiman AS (DOJ) tengah menyelidiki kesepakatan antara Google dan startup Character AI. Dugaan pelanggaran antimonopoli menguak strategi bisnis Google di balik kemitraan AI yang kontroversial. https://t.co/uFMvyWOwXQ","1925921228776263856","","","in","","0","0","0","https://x.com/undefined/status/1925921228776263856","1814244850084233216",
"1925815146221306183","Fri May 23 07:24:45 +0000 2025","0","AS mendukung hukum internasional tapi menolak sanksi untuk pelanggaran Israel; #AmerikaTukangTipu","1925815146221306183","","","in","","0","0","0","https://x.com/undefined/status/1925815146221306183","1806266800612487168",
